 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
148,181.98,105.85,76.13,198768,1,ATG9Cargo,04-Registered,postRapalog_TPDmut_DAGLB/
149,416.36,105.82,310.55,262692,0,FKBPTagPOI,05-Registered,postRapalog_TPDmut_DAGLB/
150,198.13,105.82,92.31,292651,1,FKBPTagPOI,05-Registered,postRapalog_TPDmut_DAGLB/
151,404.72,106.47,298.25,262692,0,ATG9Cargo,05-Registered,postRapalog_TPDmut_DAGLB/
152,311.42,106.47,204.95,292651,1,ATG9Cargo,05-Registered,postRapalog_TPDmut_DAGLB/
153,777.20,107.01,670.19,173192,0,FKBPTagPOI,06-Registered,postRapalog_TPDmut_DAGLB/
154,242.87,107.01,135.86,201167,1,FKBPTagPOI,06-Registered,postRapalog_TPDmut_DAGLB/
155,585.38,108.03,477.35,173192,0,ATG9Cargo,06-Registered,postRapalog_TPDmut_DAGLB/
156,348.43,108.03,240.40,201167,1,ATG9Cargo,06-Registered,postRapalog_TPDmut_DAGLB/
157,527.56,106.64,420.91,152488,0,FKBPTagPOI,07-Registered,postRapalog_TPDmut_DAGLB/
158,243.64,106.64,137.00,243768,1,FKBPTagPOI,07-Registered,postRapalog_TPDmut_DAGLB/
159,391.18,107.25,283.93,152488,0,ATG9Cargo,07-Registered,postRapalog_TPDmut_DAGLB/
160,298.93,107.25,191.67,243768,1,ATG9Cargo,07-Registered,postRapalog_TPDmut_DAGLB/
161,1186.06,106.30,1079.76,117574,0,FKBPTagPOI,08-Registered,postRapalog_TPDmut_DAGLB/
162,517.00,106.30,410.69,186938,1,FKBPTagPOI,08-Registered,postRapalog_TPDmut_DAGLB/
163,307.36,107.28,200.07,117574,0,ATG9Cargo,08-Registered,postRapalog_TPDmut_DAGLB/
164,258.25,107.28,150.97,186938,1,ATG9Cargo,08-Registered,postRapalog_TPDmut_DAGLB/
165,522.55,104.90,417.65,152651,0,FKBPTagPOI,09-Registered,postRapalog_TPDmut_DAGLB/
166,194.61,104.90,89.71,220976,1,FKBPTagPOI,09-Registered,postRapalog_TPDmut_DAGLB/
167,204.49,105.16,99.33,152651,0,ATG9Cargo,09-Registered,postRapalog_TPDmut_DAGLB/
168,159.14,105.16,53.98,220976,1,ATG9Cargo,09-Registered,postRapalog_TPDmut_DAGLB/
169,1688.57,107.63,1580.95,126955,0,FKBPTagPOI,10-Registered,postRapalog_TPDmut_DAGLB/
170,725.82,107.63,618.19,164419,1,FKBPTagPOI,10-Registered,postRapalog_TPDmut_DAGLB/
171,940.33,110.29,830.04,126955,0,ATG9Cargo,10-Registered,postRapalog_TPDmut_DAGLB/
172,463.73,110.29,353.44,164419,1,ATG9Cargo,10-Registered,postRapalog_TPDmut_DAGLB/
173,412.36,105.07,307.30,159570,0,FKBPTagPOI,11-Registered,postRapalog_TPDmut_DAGLB/
174,157.67,105.07,52.60,218823,1,FKBPTagPOI,11-Registered,postRapalog_TPDmut_DAGLB/
175,278.63,105.58,173.05,159570,0,ATG9Cargo,11-Registered,postRapalog_TPDmut_DAGLB/
176,157.81,105.58,52.23,218823,1,ATG9Cargo,11-Registered,postRapalog_TPDmut_DAGLB/
177,765.94,105.82,660.12,245790,0,FKBPTagPOI,12-Registered,postRapalog_TPDmut_DAGLB/
178,274.12,105.82,168.31,237305,1,FKBPTagPOI,12-Registered,postRapalog_TPDmut_DAGLB/
179,304.02,106.77,197.25,245790,0,ATG9Cargo,12-Registered,postRapalog_TPDmut_DAGLB/
180,211.05,106.77,104.28,237305,1,ATG9Cargo,12-Registered,postRapalog_TPDmut_DAGLB/
181,498.66,105.26,393.39,119491,0,FKBPTagPOI,13-Registered,postRapalog_TPDmut_DAGLB/
182,252.23,105.26,146.97,103657,1,FKBPTagPOI,13-Registered,postRapalog_TPDmut_DAGLB/
183,289.72,105.76,183.96,119491,0,ATG9Cargo,13-Registered,postRapalog_TPDmut_DAGLB/
184,185.83,105.76,80.07,103657,1,ATG9Cargo,13-Registered,postRapalog_TPDmut_DAGLB/
185,464.13,105.19,358.95,157457,0,FKBPTagPOI,14-Registered,postRapalog_TPDmut_DAGLB/
186,187.66,105.19,82.47,189516,1,FKBPTagPOI,14-Registered,postRapalog_TPDmut_DAGLB/
187,332.67,105.80,226.86,157457,0,ATG9Cargo,14-Registered,postRapalog_TPDmut_DAGLB/
188,280.70,105.80,174.90,189516,1,ATG9Cargo,14-Registered,postRapalog_TPDmut_DAGLB/
189,592.77,107.07,485.70,272640,0,FKBPTagPOI,15-Registered,postRapalog_TPDmut_DAGLB/
190,221.67,107.07,114.60,334623,1,FKBPTagPOI,15-Registered,postRapalog_TPDmut_DAGLB/
191,331.93,108.07,223.86,272640,0,ATG9Cargo,15-Registered,postRapalog_TPDmut_DAGLB/
192,230.78,108.07,122.71,334623,1,ATG9Cargo,15-Registered,postRapalog_TPDmut_DAGLB/
193,747.25,105.59,641.65,125030,0,FKBPTagPOI,16-Registered,postRapalog_TPDmut_DAGLB/
194,259.12,105.59,153.53,157958,1,FKBPTagPOI,16-Registered,postRapalog_TPDmut_DAGLB/
195,340.54,105.93,234.61,125030,0,ATG9Cargo,16-Registered,postRapalog_TPDmut_DAGLB/
196,237.20,105.93,131.27,157958,1,ATG9Cargo,16-Registered,postRapalog_TPDmut_DAGLB/
197,624.57,105.74,518.84,57607,0,FKBPTagPOI,17-Registered,postRapalog_TPDmut_DAGLB/
198,275.14,105.74,169.40,90874,1,FKBPTagPOI,17-Registered,postRapalog_TPDmut_DAGLB/
199,412.08,106.42,305.65,57607,0,ATG9Cargo,17-Registered,postRapalog_TPDmut_DAGLB/
200,257.33,106.42,150.91,90874,1,ATG9Cargo,17-Registered,postRapalog_TPDmut_DAGLB/
201,908.30,107.52,800.78,179956,0,FKBPTagPOI,18-Registered,postRapalog_TPDmut_DAGLB/
202,394.66,107.52,287.14,175677,1,FKBPTagPOI,18-Registered,postRapalog_TPDmut_DAGLB/
203,485.17,108.52,376.66,179956,0,ATG9Cargo,18-Registered,postRapalog_TPDmut_DAGLB/
204,277.10,108.52,168.59,175677,1,ATG9Cargo,18-Registered,postRapalog_TPDmut_DAGLB/
205,542.28,105.82,436.47,219456,0,FKBPTagPOI,19-Registered,postRapalog_TPDmut_DAGLB/
206,212.73,105.82,106.91,281242,1,FKBPTagPOI,19-Registered,postRapalog_TPDmut_DAGLB/
207,399.73,105.74,293.98,219456,0,ATG9Cargo,19-Registered,postRapalog_TPDmut_DAGLB/
208,253.88,105.74,148.14,281242,1,ATG9Cargo,19-Registered,postRapalog_TPDmut_DAGLB/
209,1125.82,107.49,1018.33,133647,0,FKBPTagPOI,20-Registered,postRapalog_TPDmut_DAGLB/
210,299.88,107.49,192.39,184856,1,FKBPTagPOI,20-Registered,postRapalog_TPDmut_DAGLB/
211,649.34,108.11,541.23,133647,0,ATG9Cargo,20-Registered,postRapalog_TPDmut_DAGLB/
212,385.56,108.11,277.45,184856,1,ATG9Cargo,20-Registered,postRapalog_TPDmut_DAGLB/
213,931.19,106.82,824.37,320473,0,FKBPTagPOI,01-Registered,postRapalog_TPDwt_DAGLB/
214,286.56,106.82,179.74,369974,1,FKBPTagPOI,01-Registered,postRapalog_TPDwt_DAGLB/
215,547.78,106.82,440.96,320473,0,ATG9Cargo,01-Registered,postRapalog_TPDwt_DAGLB/
216,274.52,106.82,167.70,369974,1,ATG9Cargo,01-Registered,postRapalog_TPDwt_DAGLB/
217,1282.30,107.25,1175.05,162325,0,FKBPTagPOI,02-Registered,postRapalog_TPDwt_DAGLB/
218,403.74,107.25,296.50,307531,1,FKBPTagPOI,02-Registered,postRapalog_TPDwt_DAGLB/
219,277.67,105.86,171.82,162325,0,ATG9Cargo,02-Registered,postRapalog_TPDwt_DAGLB/
220,169.11,105.86,63.26,307531,1,ATG9Cargo,02-Registered,postRapalog_TPDwt_DAGLB/
221,596.53,105.81,490.72,118258,0,FKBPTagPOI,03-Registered,postRapalog_TPDwt_DAGLB/
222,219.35,105.81,113.54,196998,1,FKBPTagPOI,03-Registered,postRapalog_TPDwt_DAGLB/
223,265.18,105.92,159.26,118258,0,ATG9Cargo,03-Registered,postRapalog_TPDwt_DAGLB/
224,188.84,105.92,82.92,196998,1,ATG9Cargo,03-Registered,postRapalog_TPDwt_DAGLB/
225,2660.18,107.19,2552.99,132541,0,FKBPTagPOI,04-Registered,postRapalog_TPDwt_DAGLB/
226,408.08,107.19,300.90,178889,1,FKBPTagPOI,04-Registered,postRapalog_TPDwt_DAGLB/
227,745.13,106.35,638.77,132541,0,ATG9Cargo,04-Registered,postRapalog_TPDwt_DAGLB/
228,249.37,106.35,143.01,178889,1,ATG9Cargo,04-Registered,postRapalog_TPDwt_DAGLB/
229,1370.39,106.52,1263.86,124751,0,FKBPTagPOI,05-Registered,postRapalog_TPDwt_DAGLB/
230,265.29,106.52,158.77,218329,1,FKBPTagPOI,05-Registered,postRapalog_TPDwt_DAGLB/
231,629.47,106.87,522.60,124751,0,ATG9Cargo,05-Registered,postRapalog_TPDwt_DAGLB/
232,258.54,106.87,151.67,218329,1,ATG9Cargo,05-Registered,postRapalog_TPDwt_DAGLB/
233,1371.28,105.96,1265.31,79259,0,FKBPTagPOI,06-Registered,postRapalog_TPDwt_DAGLB/
234,397.46,105.96,291.50,116632,1,FKBPTagPOI,06-Registered,postRapalog_TPDwt_DAGLB/
235,394.21,106.44,287.77,79259,0,ATG9Cargo,06-Registered,postRapalog_TPDwt_DAGLB/
236,228.52,106.44,122.08,116632,1,ATG9Cargo,06-Registered,postRapalog_TPDwt_DAGLB/
237,1441.72,106.72,1335.01,147003,0,FKBPTagPOI,07-Registered,postRapalog_TPDwt_DAGLB/
238,320.59,106.72,213.87,164959,1,FKBPTagPOI,07-Registered,postRapalog_TPDwt_DAGLB/
239,690.30,106.56,583.74,147003,0,ATG9Cargo,07-Registered,postRapalog_TPDwt_DAGLB/
240,267.00,106.56,160.44,164959,1,ATG9Cargo,07-Registered,postRapalog_TPDwt_DAGLB/
241,1777.86,106.09,1671.77,71902,0,FKBPTagPOI,08-Registered,postRapalog_TPDwt_DAGLB/
242,625.56,106.09,519.47,113288,1,FKBPTagPOI,08-Registered,postRapalog_TPDwt_DAGLB/
243,492.83,105.92,386.90,71902,0,ATG9Cargo,08-Registered,postRapalog_TPDwt_DAGLB/
244,279.22,105.92,173.30,113288,1,ATG9Cargo,08-Registered,postRapalog_TPDwt_DAGLB/
245,1085.43,107.25,978.18,290120,0,FKBPTagPOI,09-Registered,postRapalog_TPDwt_DAGLB/
246,316.89,107.25,209.63,348730,1,FKBPTagPOI,09-Registered,postRapalog_TPDwt_DAGLB/
247,501.30,107.09,394.20,290120,0,ATG9Cargo,09-Registered,postRapalog_TPDwt_DAGLB/
248,289.28,107.09,182.18,348730,1,ATG9Cargo,09-Registered,postRapalog_TPDwt_DAGLB/
249,1305.27,105.99,1199.28,121262,0,FKBPTagPOI,10-Registered,postRapalog_TPDwt_DAGLB/
250,318.42,105.99,212.43,168151,1,FKBPTagPOI,10-Registered,postRapalog_TPDwt_DAGLB/
251,434.89,105.93,328.96,121262,0,ATG9Cargo,10-Registered,postRapalog_TPDwt_DAGLB/
252,220.29,105.93,114.36,168151,1,ATG9Cargo,10-Registered,postRapalog_TPDwt_DAGLB/
253,837.44,106.31,731.13,84667,0,FKBPTagPOI,11-Registered,postRapalog_TPDwt_DAGLB/
254,225.73,106.31,119.42,154289,1,FKBPTagPOI,11-Registered,postRapalog_TPDwt_DAGLB/
255,401.65,106.32,295.33,84667,0,ATG9Cargo,11-Registered,postRapalog_TPDwt_DAGLB/
256,219.34,106.32,113.02,154289,1,ATG9Cargo,11-Registered,postRapalog_TPDwt_DAGLB/
257,2670.26,106.85,2563.41,166568,0,FKBPTagPOI,12-Registered,postRapalog_TPDwt_DAGLB/
258,492.13,106.85,385.28,206900,1,FKBPTagPOI,12-Registered,postRapalog_TPDwt_DAGLB/
259,1327.80,106.34,1221.46,166568,0,ATG9Cargo,12-Registered,postRapalog_TPDwt_DAGLB/
