Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
743.758,118.902,624.856,389768,1,ATG9Cargo,15-Registered,postRapalog_EmptyV_BIF1/
253.950,106.201,147.750,138593,0,FKBPTagPOI,16-Registered,postRapalog_EmptyV_BIF1/
153.800,106.201,47.599,131960,1,FKBPTagPOI,16-Registered,postRapalog_EmptyV_BIF1/
836.462,108.498,727.963,138593,0,ATG9Cargo,16-Registered,postRapalog_EmptyV_BIF1/
641.661,108.498,533.163,131960,1,ATG9Cargo,16-Registered,postRapalog_EmptyV_BIF1/
626.740,105.865,520.875,305772,0,FKBPTagPOI,17-Registered,postRapalog_EmptyV_BIF1/
225.305,105.865,119.440,391862,1,FKBPTagPOI,17-Registered,postRapalog_EmptyV_BIF1/
1577.861,110.385,1467.476,305772,0,ATG9Cargo,17-Registered,postRapalog_EmptyV_BIF1/
1079.451,110.385,969.066,391862,1,ATG9Cargo,17-Registered,postRapalog_EmptyV_BIF1/
724.454,106.511,617.943,162770,0,FKBPTagPOI,18-Registered,postRapalog_EmptyV_BIF1/
324.304,106.511,217.793,233838,1,FKBPTagPOI,18-Registered,postRapalog_EmptyV_BIF1/
1492.621,111.086,1381.535,162770,0,ATG9Cargo,18-Registered,postRapalog_EmptyV_BIF1/
1087.265,111.086,976.178,233838,1,ATG9Cargo,18-Registered,postRapalog_EmptyV_BIF1/
883.840,108.612,775.229,181681,0,FKBPTagPOI,19-Registered,postRapalog_EmptyV_BIF1/
328.989,108.612,220.378,252997,1,FKBPTagPOI,19-Registered,postRapalog_EmptyV_BIF1/
2989.386,124.856,2864.530,181681,0,ATG9Cargo,19-Registered,postRapalog_EmptyV_BIF1/
1476.697,124.856,1351.841,252997,1,ATG9Cargo,19-Registered,postRapalog_EmptyV_BIF1/
520.183,107.270,412.913,294311,0,FKBPTagPOI,20-Registered,postRapalog_EmptyV_BIF1/
274.389,107.270,167.120,345487,1,FKBPTagPOI,20-Registered,postRapalog_EmptyV_BIF1/
859.773,114.807,744.966,294311,0,ATG9Cargo,20-Registered,postRapalog_EmptyV_BIF1/
598.178,114.807,483.370,345487,1,ATG9Cargo,20-Registered,postRapalog_EmptyV_BIF1/
