 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
148,704.00,109.05,594.95,370027,1,ATG9Cargo,13-Registered,postRapalog_EmptyV_DAGLB/
149,224.20,106.96,117.23,185138,0,FKBPTagPOI,14-Registered,postRapalog_EmptyV_DAGLB/
150,134.84,106.96,27.87,238843,1,FKBPTagPOI,14-Registered,postRapalog_EmptyV_DAGLB/
151,409.80,109.79,300.01,185138,0,ATG9Cargo,14-Registered,postRapalog_EmptyV_DAGLB/
152,337.66,109.79,227.87,238843,1,ATG9Cargo,14-Registered,postRapalog_EmptyV_DAGLB/
153,300.94,104.43,196.51,210356,0,FKBPTagPOI,15-Registered,postRapalog_EmptyV_DAGLB/
154,180.66,104.43,76.23,273573,1,FKBPTagPOI,15-Registered,postRapalog_EmptyV_DAGLB/
155,782.15,105.84,676.31,210356,0,ATG9Cargo,15-Registered,postRapalog_EmptyV_DAGLB/
156,508.62,105.84,402.78,273573,1,ATG9Cargo,15-Registered,postRapalog_EmptyV_DAGLB/
157,442.14,104.90,337.24,178859,0,FKBPTagPOI,16-Registered,postRapalog_EmptyV_DAGLB/
158,180.12,104.90,75.22,256873,1,FKBPTagPOI,16-Registered,postRapalog_EmptyV_DAGLB/
159,1687.06,108.06,1579.01,178859,0,ATG9Cargo,16-Registered,postRapalog_EmptyV_DAGLB/
160,1511.09,108.06,1403.04,256873,1,ATG9Cargo,16-Registered,postRapalog_EmptyV_DAGLB/
161,208.47,104.66,103.81,121201,0,FKBPTagPOI,17-Registered,postRapalog_EmptyV_DAGLB/
162,126.74,104.66,22.07,130313,1,FKBPTagPOI,17-Registered,postRapalog_EmptyV_DAGLB/
163,616.94,106.43,510.51,121201,0,ATG9Cargo,17-Registered,postRapalog_EmptyV_DAGLB/
164,437.43,106.43,331.00,130313,1,ATG9Cargo,17-Registered,postRapalog_EmptyV_DAGLB/
165,1177.18,105.23,1071.95,204308,0,FKBPTagPOI,18-Registered,postRapalog_EmptyV_DAGLB/
166,403.58,105.23,298.35,203566,1,FKBPTagPOI,18-Registered,postRapalog_EmptyV_DAGLB/
167,1480.27,106.25,1374.02,204308,0,ATG9Cargo,18-Registered,postRapalog_EmptyV_DAGLB/
168,1031.58,106.25,925.33,203566,1,ATG9Cargo,18-Registered,postRapalog_EmptyV_DAGLB/
