Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
480.000,108.166,371.834,89630,0,FKBPTagPOI,16-Registered,postRapalog_TPDmut_PI4K3b/
274.056,108.166,165.890,152900,1,FKBPTagPOI,16-Registered,postRapalog_TPDmut_PI4K3b/
989.695,111.366,878.329,89630,0,ATG9Cargo,16-Registered,postRapalog_TPDmut_PI4K3b/
610.505,111.366,499.139,152900,1,ATG9Cargo,16-Registered,postRapalog_TPDmut_PI4K3b/
966.726,109.131,857.595,156754,0,FKBPTagPOI,17-Registered,postRapalog_TPDmut_PI4K3b/
460.687,109.131,351.556,225257,1,FKBPTagPOI,17-Registered,postRapalog_TPDmut_PI4K3b/
951.052,110.962,840.090,156754,0,ATG9Cargo,17-Registered,postRapalog_TPDmut_PI4K3b/
716.534,110.962,605.572,225257,1,ATG9Cargo,17-Registered,postRapalog_TPDmut_PI4K3b/
628.976,108.952,520.024,143606,0,FKBPTagPOI,18-Registered,postRapalog_TPDmut_PI4K3b/
150.879,108.952,41.927,420299,1,FKBPTagPOI,18-Registered,postRapalog_TPDmut_PI4K3b/
447.037,111.092,335.946,143606,0,ATG9Cargo,18-Registered,postRapalog_TPDmut_PI4K3b/
202.722,111.092,91.631,420299,1,ATG9Cargo,18-Registered,postRapalog_TPDmut_PI4K3b/
475.554,107.741,367.813,136813,0,FKBPTagPOI,19-Registered,postRapalog_TPDmut_PI4K3b/
348.590,107.741,240.849,199763,1,FKBPTagPOI,19-Registered,postRapalog_TPDmut_PI4K3b/
1549.948,110.960,1438.988,136813,0,ATG9Cargo,19-Registered,postRapalog_TPDmut_PI4K3b/
983.069,110.960,872.108,199763,1,ATG9Cargo,19-Registered,postRapalog_TPDmut_PI4K3b/
1101.831,108.513,993.318,162069,0,FKBPTagPOI,20-Registered,postRapalog_TPDmut_PI4K3b/
287.735,108.513,179.222,266525,1,FKBPTagPOI,20-Registered,postRapalog_TPDmut_PI4K3b/
713.417,111.363,602.054,162069,0,ATG9Cargo,20-Registered,postRapalog_TPDmut_PI4K3b/
463.136,111.363,351.774,266525,1,ATG9Cargo,20-Registered,postRapalog_TPDmut_PI4K3b/
365.100,107.981,257.119,141834,0,FKBPTagPOI,22-Registered,postRapalog_TPDmut_PI4K3b/
172.386,107.981,64.405,206855,1,FKBPTagPOI,22-Registered,postRapalog_TPDmut_PI4K3b/
367.816,110.459,257.357,141834,0,ATG9Cargo,22-Registered,postRapalog_TPDmut_PI4K3b/
182.204,110.459,71.746,206855,1,ATG9Cargo,22-Registered,postRapalog_TPDmut_PI4K3b/
324.407,107.828,216.579,164119,0,FKBPTagPOI,23-Registered,postRapalog_TPDmut_PI4K3b/
163.879,107.828,56.051,263639,1,FKBPTagPOI,23-Registered,postRapalog_TPDmut_PI4K3b/
451.935,109.949,341.986,164119,0,ATG9Cargo,23-Registered,postRapalog_TPDmut_PI4K3b/
272.420,109.949,162.471,263639,1,ATG9Cargo,23-Registered,postRapalog_TPDmut_PI4K3b/
2615.543,107.644,2507.899,199590,0,FKBPTagPOI,01-Registered,postRapalog_TPDwt_PI4K3b/
668.800,107.644,561.155,288504,1,FKBPTagPOI,01-Registered,postRapalog_TPDwt_PI4K3b/
541.075,107.430,433.645,199590,0,ATG9Cargo,01-Registered,postRapalog_TPDwt_PI4K3b/
417.286,107.430,309.856,288504,1,ATG9Cargo,01-Registered,postRapalog_TPDwt_PI4K3b/
755.516,106.605,648.911,277857,0,FKBPTagPOI,02-Registered,postRapalog_TPDwt_PI4K3b/
247.852,106.605,141.247,351905,1,FKBPTagPOI,02-Registered,postRapalog_TPDwt_PI4K3b/
162.894,106.746,56.148,277857,0,ATG9Cargo,02-Registered,postRapalog_TPDwt_PI4K3b/
146.253,106.746,39.506,351905,1,ATG9Cargo,02-Registered,postRapalog_TPDwt_PI4K3b/
