"Gene.names","ATG","uid"
"SFRS4",3435579.47899874,"265"
"SFT2D2",14321878.9927354,"409"
"SFT2D3",13899526.3121335,"333"
"SH3GLB1",237684028.662487,"123"
"SHINC3",34914031.5478586,"385"
"SLC12A4",81096105.785384,"461"
"SLC12A6",81096105.785384,"461"
"SLC16A1",158854674.859778,"72"
"SLC35A1",8749837.75227436,"410"
"SLC35B2",250610925.303211,"414"
"SLC35E1",7030723.19883834,"417"
"SLC38A1",69662651.4110769,"407"
"SLC38A2",190546071.796324,"488"
"SLC3A2",140604752.412991,"57"
"SLC6A15",10739894.1234124,"497"
"SLC7A1",69984199.6002273,"157"
"SLC7A5",4808393.48449729,"422"
"SMBP",776247116.628693,"83"
"SNAP29",151705036.745933,"77"
"SNRPE",32960971.2177458,"121"
"SNRPG",6137620.05164795,"280"
"SNX2",125602996.369488,"298"
"SNX6",26730064.0866331,"278"
"SON",27039583.6410885,"166"
"SORT1",33265955.3294005,"387"
"SPC18",7998342.55007028,"321"
"SPCS2",6486344.33548239,"377"
"SPRYD7",47424198.5260245,"465"
"SPTAN1",13273944.5772974,"294"
"SPTBN1",18620871.3666287,"326"
"SRP14",29241523.7784334,"179"
"SRP9",13458603.5405595,"165"
"SRRM2",158854674.859778,"145"
"SRSF10",64416926.5515177,"64"
"SRSF12",64416926.5515177,"64"
"SRSF4",3435579.47899874,"265"
"SSR4",6266138.64672335,"348"
"STEAP3",9506047.93656281,"423"
"STIP1",94188959.6522842,"75"
"STRF8",44258837.2362626,"98"
"STRN",12189895.9892487,"487"
"STRN3",558606432.088248,"309"
"STX10",59979107.6255509,"450"
"STX12",238231946.935869,"444"
"STX16",5847900.84144481,"383"
"STX16-NPEPL1",5847900.84144481,"383"
"STX5",19906733.3898719,"462"
"STX7",196336027.683604,"393"
"STX8",5370317.96370253,"287"
"STXBP3",107398941.234125,"413"
"SUMO2",10303861.2044162,"366"
"SUMO3",10303861.2044162,"366"
"SUMO4",10303861.2044162,"366"
"SURF4",35974933.5155742,"386"
"SV2A",24888573.1828239,"328"
"SYBL1",152054752.97325,"142"
"SYNGR1",96382902.362397,"339"
"SYNGR2",5714786366.71867,"47"
"SYP",60813500.1278718,"419"
"SYPL",1066596121.23026,"171"
"SYPL1",1066596121.23026,"171"
"TALDO1",27164392.6883908,"122"
"TECR",26546055.6197554,"307"
"TFRC",2349632820.84831,"14"
"TGOLN2",27164392.6883908,"349"
"THOC3",14487718.5354476,"244"
"THOC5",29040226.5446445,"114"
"THOC6",20606299.1327,"149"
"TIA1",43151907.6827765,"111"
"TIAL1",43151907.6827765,"111"
"TIRAP3",166724721.255106,"491"
"TLE1",4365158.32240166,"187"
"TLE2",4365158.32240166,"187"
"TLE3",4365158.32240166,"187"
"TLE4",4365158.32240166,"187"
"TM9SF1",73282453.3138904,"453"
"TM9SF2",286417796.990659,"369"
"TM9SF3",776247116.628693,"83"
"TM9SF4",233345806.2281,"421"
"TMED1",34833731.5036012,"464"
"TMED10",465586093.522958,"485"
"TMED2",95060479.3656281,"479"
"TMED4",137404197.501251,"492"
"TMED7",166724721.255106,"491"
"TMED7-TICAM2",166724721.255106,"491"
"TMED9",297851642.942919,"474"
"TMEM109",10495424.2865232,"365"
"TMEM181",25468302.5258504,"456"
"TMEM184C",11668096.1706096,"334"
"TMEM230",34514373.9335856,"398"
"TMEM30A",81283051.61641,"169"
"TMEM33",34914031.5478586,"385"
"TMEM87A",68548822.6452662,"342"
"TMEM87B",24154608.3444494,"471"
"TMX1",4954501.9080479,"295"
"TOE1",22181964.1980022,"213"
"TPD52L2",25468302.5258504,"170"
"TPRG1L",52601726.6390706,"189"
"TRAPPC1",49888448.7460013,"129"
"TRAPPC11",116144861.384034,"249"
"TRAPPC12",81096105.785384,"269"
"TRAPPC2",7112135.1365333,"425"
"TRAPPC2L",31405086.9387622,"206"
"TRAPPC2P1",7112135.1365333,"425"
"TRAPPC3",104712854.80509,"245"
"TRAPPC4",123879658.653037,"231"
"TRAPPC5",55718574.893193,"198"
"TRAPPC6B",18155156.6277314,"197"
"TRAPPC8",558470194.736831,"243"
"TRAPPC9",2113489.03983665,"308"
"TUBA1B",50350060.8787905,"159"
"TUBA1C",50350060.8787905,"159"
"TUBAL3",10399201.6582906,"320"
"TUBB",897428794.500747,"6"
