"Gene.names","logFC_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Ratio_H_L_count_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_Mix_CTRL.IgM.Immunoisolation","PEP","LFQ","FC10","uid"
"GNB1",-0.139,7,15.909,7.867,0,335271728.685204,1.623,"21"
"GNB2",-0.035,1,7.419,0,0,26242185.4338444,1,"281"
"GNB4",-0.035,1,7.419,0,0,26242185.4338444,1,"281"
"GNPDA1",0.13,2,7.126,0,0,13365955.1654644,1,"248"
"GOLGA2",-0.654,11,8.145,0,0,139636836.105594,1,"399"
"GOLGA5",-1.237,9,7.953,0,0,89742879.4500749,1,"482"
"GOLGB1",-0.51,2,6.834,0,0,6823386.94141669,1,"364"
"GOLIM4",-0.918,6,7.885,0,0,76736148.9361819,1,"442"
"GOLM1",-0.287,1,6.919,0,9e-05,8298507.67514422,1,"317"
"GOLPH2",-0.287,1,6.919,0,9e-05,8298507.67514422,1,"317"
"GOLPH3",-0.877,1,7.122,0,0,13243415.3519466,1,"434"
"GOSR1",-0.369,2,7.736,0,2e-05,54450265.2842421,1,"336"
"GPATCH8",0.371,1,7.004,0,0.0021,10092528.8607668,1,"216"
"GPR107",-1.282,3,7.429,0,0,26853444.4565851,1,"484"
"GPR89A",-0.485,1,6.886,0,0.00019,7691304.4028661,1,"357"
"GPR89B",-0.485,1,6.886,0,0.00019,7691304.4028661,1,"357"
"GPR89C",-0.485,1,6.886,0,0.00019,7691304.4028661,1,"357"
"GPS1",0.281,1,6.731,0,0.00076,5382697.82516288,1,"222"
"GSA",0.039,2,7.387,6.581,0,24378108.1836875,0.805999999999999,"151"
"GSTP1",-0.386,2,7.663,6.988,0,46025657.3581356,0.675,"81"
"GTPBP4",0.362,21,9.205,8.361,0,1603245390.69004,0.843999999999999,"5"
"hCG_1996054",-0.309,3,7.737,6.83,0,54575786.1091271,0.907,"106"
"hCG_2015269",-0.297,5,8.254,7.497,0,179473362.683252,0.757,"33"
"hCG_2022736",0.061,2,7.36,6.518,1e-04,22908676.5276777,0.842,"156"
"hCG_21984",0.327,1,6.463,0,0,2904022.65446445,1,"217"
"HLA-A",-0.554,1,7.338,0,0,21777097.7235316,1,"373"
"HLA-A*02",-0.554,1,7.338,0,0,21777097.7235316,1,"373"
"HLA-A*0226",-0.554,1,7.338,0,0,21777097.7235316,1,"373"
"HLA-B",-0.465,2,7.574,0,0,37497300.2245483,1,"351"
"HLA-C",-1.436,2,13.967,0,0,26033081.854869,2,"373"
"HLA-Cw",-0.554,1,7.338,0,0,21777097.7235316,1,"373"
"HRAS",-0.185,3,7.488,0,0,30760968.1474071,1,"296"
"HRMT1L2",0.26,2,7.611,6.915,0,40831938.6332692,0.696,"90"
"HS2ST1",-1.008,3,7.515,0,0,32734069.4878838,1,"460"
